source,url,title,page,alias_matched,match_context,match_location,needs_manual_review,confidence
Webpage,https://doi.org/10.3389/fmed.2026.1831398,Frontiers | Case Report: Intravenous transplantation of autologous adipose tissue-derived mesenchymal stem cells attenuated atopic dermatitis,,Helium,"splantation had been shown to have a potential for reducing chronic pain ( 2 ). MSC are known to suppress excessive inflammation ( 3 ), and one of the potential mechanisms of action is a gap junction-meditated suppression of activated endothelium and white blood cell that results in reduction of vascular permeability and tissue inflammation ( 4 ). A combination of activated vasculature, immune dysregulation, and epidermal barrier dysfunction has been proposed as the basic pathology",body,False,0
Webpage,https://doi.org/10.3389/fmed.2026.1831398,Frontiers | Case Report: Intravenous transplantation of autologous adipose tissue-derived mesenchymal stem cells attenuated atopic dermatitis,,HELIUM,"splantation had been shown to have a potential for reducing chronic pain ( 2 ). MSC are known to suppress excessive inflammation ( 3 ), and one of the potential mechanisms of action is a gap junction-meditated suppression of activated endothelium and white blood cell that results in reduction of vascular permeability and tissue inflammation ( 4 ). A combination of activated vasculature, immune dysregulation, and epidermal barrier dysfunction has been proposed as the basic pathology",body,False,0
Webpage,https://doi.org/10.3389/fmed.2026.1831398,Frontiers | Case Report: Intravenous transplantation of autologous adipose tissue-derived mesenchymal stem cells attenuated atopic dermatitis,,Eczema,"ntation. A clinical trial showed that allogeneic umbilical cord blood-derived MSC subcutaneous transplantation improves atopic dermatitis ( 9 ). In the clinical trial, approximately 40% enrolled patients achieved a 50% improvement in their Eczema Area and Severity Index score in 12 weeks. A significant decrease in the blood eosinophil percentage was observed 8 and 12 weeks after MSC transplantation, although no significant difference was observed 2 and 4 weeks after transplantation",body,False,0
Webpage,https://doi.org/10.3389/fmed.2026.1831398,Frontiers | Case Report: Intravenous transplantation of autologous adipose tissue-derived mesenchymal stem cells attenuated atopic dermatitis,,Air,and values History Leadership Awards Impact and progress Frontiers' impact Our annual reports Thought leadership Publishing model How we publish Open access Quality and research integrity Peer review Research Topics Publish your data with FAIR² Fee policy Services Societies National consortia Institutional partnerships Collaborators More from Frontiers Frontiers Forum Frontiers Planet Prize Press office Sustainability Career opportunities Contact us All journals All articles Sub,body,False,0
Webpage,https://doi.org/10.3389/fmed.2026.1831398,Frontiers | Case Report: Intravenous transplantation of autologous adipose tissue-derived mesenchymal stem cells attenuated atopic dermatitis,,4,"ss statement Copyright statement Quality For authors Why submit? Article types Author guidelines Editor guidelines Publishing fees Submission checklist Contact editorial office Submit your research Search CASE REPORT article Front. Med. , 04 May 2026 Sec. Gene and Cell Therapy Volume 13 - 2026 | https://doi.org/10.3389/fmed.2026.1831398 Published in Frontiers in Medicine Gene and Cell Therapy 3.6 impact factor 5.4 citescore Part of a Research Topic Gene and Cell Therapy, a The",body,False,0
Webpage,https://doi.org/10.4081/dr.2026.10522,"Successful use of dupilumab in a patient with atopic dermatitis and autosomal dominant polycystic kidney disease: a case report
							| Dermatology Reports",,Atopic Dermatitis,Successful use of dupilumab in a patient with atopic dermatitis and autosomal dominant polycystic kidney disease: a case report | Dermatology Reports Skip to main content Skip to main navigation menu Skip to site footer Open Menu Dermatology Reports eISSN 2036-7406 About the Journal Publication Ethics,body,False,0
Webpage,https://doi.org/10.4081/dr.2026.10522,"Successful use of dupilumab in a patient with atopic dermatitis and autosomal dominant polycystic kidney disease: a case report
							| Dermatology Reports",,4,"lumab in a patient with atopic dermatitis and autosomal dominant polycystic kidney disease: a case report | Dermatology Reports Skip to main content Skip to main navigation menu Skip to site footer Open Menu Dermatology Reports eISSN 2036-7406 About the Journal Publication Ethics Editorial Board Current Issue Archives Early Access Register Login Search Contacts Editor-in-Chief: Carlo Cota, Italy 1.0 Impact Factor 2025 1.5 CiteScore 2025 Current Issue 1 January 2026 View this I",body,False,0
Webpage,https://doi.org/10.2147/jaa.s616879,"Corrigendum for the article Knowledge, Attitudes, and Practices Toward | JAA | Dove Medical Press",,Atopic Dermatitis,"d Authors We offer real benefits to our authors, including fast-track processing of papers. Learn more Social Media Back to Journals » Journal of Asthma and Allergy » Volume 19 Listen Corrigendum Knowledge, Attitudes, and Practices Towards Atopic Dermatitis Among Parents of Children with Atopic Dermatitis: A Cross-Sectional Study [Corrigendum] Fulltext Metrics Get Permission Cite this article Authors Zheng H , Shen C , Xu D , Ji C , Feng J , Zhou S , Li Y Received 14 April 2026 Accepted for p",body,False,0
Webpage,https://doi.org/10.2147/jaa.s616879,"Corrigendum for the article Knowledge, Attitudes, and Practices Toward | JAA | Dove Medical Press",,4,ubmission Reprints Login Advanced search Open access to scientific and medical research Journals Why publish with us? Editorial Policies Author Information Peer Review Guidelines Collections Hot topics Latest Articles Videos Podcasts 1 1 5 4 7 2 Papers Published Submit new manuscript Login to view existing manuscript status Sign up for journal alerts About Dove Medical Press Open access peer-reviewed scientific and medical journals. Learn more Open Access Dove Medical Press is,body,False,0
Webpage,https://doi.org/10.1007/s40257-026-01043-0,"Safety and Tolerability of Ruxolitinib Cream in Adolescents with Mild-to-Moderate Atopic Dermatitis: Results From a 1-Year, Phase III, Open-Label Study | American Journal of Clinical Dermatology | Springer Nature Link",,Atopic Dermatitis,"Safety and Tolerability of Ruxolitinib Cream in Adolescents with Mild-to-Moderate Atopic Dermatitis: Results From a 1-Year, Phase III, Open-Label Study | American Journal of Clinical Dermatology | Springer Nature Link Skip to main content Advertisement Log in Menu Find a journal Publish with us Track your research Search Saved research C",body,False,0
Webpage,https://doi.org/10.1007/s40257-026-01043-0,"Safety and Tolerability of Ruxolitinib Cream in Adolescents with Mild-to-Moderate Atopic Dermatitis: Results From a 1-Year, Phase III, Open-Label Study | American Journal of Clinical Dermatology | Springer Nature Link",,Psoriasis,"nd children: INTEGUMENT-1 and INTEGUMENT-2 randomized clinical trials. JAMA Dermatol. 2024;160(11):1161-70. Amiri D, Schwarz CW, Gether L, Skov L. Safety and efficacy of topical calcineurin inhibitors in the treatment of facial and genital psoriasis: a systematic review. Acta Derm Venereol. 2023;103:adv00890. Article CAS PubMed PubMed Central Google Scholar Ahmed A, Solman L, Williams HC. Magnitude of benefit for topical crisaborole in the treatment of atopic dermatitis in children an",body,False,0
Webpage,https://doi.org/10.1007/s40257-026-01043-0,"Safety and Tolerability of Ruxolitinib Cream in Adolescents with Mild-to-Moderate Atopic Dermatitis: Results From a 1-Year, Phase III, Open-Label Study | American Journal of Clinical Dermatology | Springer Nature Link",,Eczema,"period in which ruxolitinib cream was applied twice daily as needed. Safety was the primary endpoint. Secondary endpoints included plasma trough concentrations of ruxolitinib. Affected body surface area, ≥ 75% improvement from baseline in Eczema Area and Severity Index, achievement of Investigator’s Global Assessment score of 0/1, and ≥ 4-point improvement from baseline in the itch Numerical Rating Scale were exploratory endpoints. Results Of 103 patients, 59.2% had a baseline Inv",body,False,0
Webpage,https://doi.org/10.1007/s40257-026-01043-0,"Safety and Tolerability of Ruxolitinib Cream in Adolescents with Mild-to-Moderate Atopic Dermatitis: Results From a 1-Year, Phase III, Open-Label Study | American Journal of Clinical Dermatology | Springer Nature Link",,4,"e Save article View saved research American Journal of Clinical Dermatology Aims and scope Submit manuscript Joel C. Joyce ORCID: orcid.org/0009-0002-7300-8516 1 , H. Chih-ho Hong ORCID: orcid.org/0000-0001-9963-8319 2 , 3 , Dareen D. Siri 4 , Darryl Toth 5 , Howard Kallender ORCID: orcid.org/0000-0001-5634-883X 6 , YuTzu Kuo 6 , Diana Stefani-Hunyady ORCID: orcid.org/0009-0000-5021-9412 6 & … Kim A. Papp 7 , 8 , 9 Show authors 108 Accesses Explore all metrics Abstract Backgro",body,False,0
Webpage,https://doi.org/10.1007/s13555-026-01786-y,The Importance of Achieving High Treatment Targets in Atopic Dermatitis: A Narrative Review | Dermatology and Therapy | Springer Nature Link,,Atopic Dermatitis,The Importance of Achieving High Treatment Targets in Atopic Dermatitis: A Narrative Review | Dermatology and Therapy | Springer Nature Link Skip to main content Advertisement Log in Menu Find a journal Publish with us Track your research Search Saved research Cart Home Dermatology and Therapy Article The Impo,body,False,0
Webpage,https://doi.org/10.1007/s13555-026-01786-y,The Importance of Achieving High Treatment Targets in Atopic Dermatitis: A Narrative Review | Dermatology and Therapy | Springer Nature Link,,Eczema,"aches have been proposed for AD in recent years, studies showed that many patients with AD continue to perceive disease burden despite the achievement of the established treatment targets. This prompted the conception of the Aiming High in Eczema/Atopic Dermatitis (AHEAD) recommendations, which included novel optimal targets for both clinician- and patient-reported outcomes, the achievement of which is defined as minimal disease activity or MDA. This narrative review appraises stud",body,False,0
Webpage,https://doi.org/10.1007/s13555-026-01786-y,The Importance of Achieving High Treatment Targets in Atopic Dermatitis: A Narrative Review | Dermatology and Therapy | Springer Nature Link,,Air,"s associated with a higher number of flares than mild AD [ 14 ]. Patients experiencing both itch and skin pain had more body areas affected and were more bothered by their symptoms than those without; they also reported worse daily work impairment, sleep disruption and diminished quality of life [ 18 ]. Sleep disturbances, due to itching, are an important part of disease burden in AD and the most common sleep problems in adults with AD are difficulty in falling asleep, frequent",body,False,0
Webpage,https://doi.org/10.1007/s13555-026-01786-y,The Importance of Achieving High Treatment Targets in Atopic Dermatitis: A Narrative Review | Dermatology and Therapy | Springer Nature Link,,4,"f Achieving High Treatment Targets in Atopic Dermatitis: A Narrative Review Download PDF Antonio Costanzo ORCID: orcid.org/0000-0001-9697-2557 1 , 2 , Giulia De Martino 3 , Sara Di Fino 3 & … Luca Stingeni ORCID: orcid.org/0000-0001-7919-8141 4 Show authors 475 Accesses Explore all metrics Abstract Atopic dermatitis (AD) is associated with a significant physical, psychological, social and economic burden and a decreased quality of life. There is a relationship between disease",body,False,0
Webpage,https://doi.org/10.2340/actadv.v106.adv-2025-0246,"Association of Skin Dryness and Disease-related Parameters with Mechanical Alloknesis in Atopic Dermatitis: A Crosssectional and Prospective Cohort Study
							| Acta Dermato-Venereologica",,Atopic Dermatitis,Association of Skin Dryness and Disease-related Parameters with Mechanical Alloknesis in Atopic Dermatitis: A Crosssectional and Prospective Cohort Study | Acta Dermato-Venereologica Skip to main content Skip to main navigation menu Skip to site footer Open Menu About About the Journal ActaDV in short Owner Editorial Team Advisory Board Acknowl,body,False,0
Webpage,https://doi.org/10.2340/actadv.v106.adv-2025-0246,"Association of Skin Dryness and Disease-related Parameters with Mechanical Alloknesis in Atopic Dermatitis: A Crosssectional and Prospective Cohort Study
							| Acta Dermato-Venereologica",,Psoriasis,"5 Studies on zinc in wound healing 959 Skin Infections Caused by Staphylococcus aureus 912 Browse Categories Quiz Skin biology and inflammation Metabolism and internal medicine Atopy, allergy and eczema Itch, urticaria and neurodermatology Psoriasis and autoimmune diseases Immunology, lymphoma and HIV/AIDS Drug development and adverse reactions Skin tumours and pigmentation Wounds, vascular disorders and connective tissues Hair, nails and adnexal disorders Inherited diseases and malfo",body,False,0
Webpage,https://doi.org/10.2340/actadv.v106.adv-2025-0246,"Association of Skin Dryness and Disease-related Parameters with Mechanical Alloknesis in Atopic Dermatitis: A Crosssectional and Prospective Cohort Study
							| Acta Dermato-Venereologica",,Eczema,"0.2340/actadv.v106.adv-2025-0246 More Citation Formats ACM ACS APA ABNT Chicago Harvard IEEE MLA Turabian Vancouver Download Citation Endnote/Zotero/Mendeley (RIS) BibTeX Issue Vol. 106 (2026) Section Articles Categories Atopy, allergy and eczema License This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License . All digitalized ActaDV contents is available freely online. The Society for Publication of Acta Dermato-Venereologica owns the cop",body,False,0
Webpage,https://doi.org/10.2340/actadv.v106.adv-2025-0246,"Association of Skin Dryness and Disease-related Parameters with Mechanical Alloknesis in Atopic Dermatitis: A Crosssectional and Prospective Cohort Study
							| Acta Dermato-Venereologica",,Air,"M, Steinhoff A, Homey B, Luger TA, Schneider SW. Role of vasculature in atopic dermatitis. J Allergy Clin Immunol 2006; 118: 190-197. DOI: https://doi.org/10.1016/j.jaci.2006.04.025 Komiya E, Tominaga M, Hatano R, Kamikubo Y, Toyama S, Sakairi H, et al. Peripheral endomorphins drive mechanical alloknesis under the enzymatic control of CD26/DPPIV. J Allergy Clin Immunol 2022; 149: 1085-1096. DOI: https://doi.org/10.1016/j.jaci.2021.08.003 Abraira VE, Ginty DD. The sensory neuron",body,False,0
Webpage,https://doi.org/10.2340/actadv.v106.adv-2025-0246,"Association of Skin Dryness and Disease-related Parameters with Mechanical Alloknesis in Atopic Dermatitis: A Crosssectional and Prospective Cohort Study
							| Acta Dermato-Venereologica",,4,"ntendo University Graduate School of Medicine, 2-1-1 Tomioka, Urayasu, Chiba 279-0021, Japan; Department of Dermatology, Juntendo University Urayasu Hospital, 2-1-1 Tomioka, Urayasu, Chiba 279-0021, Japan https://orcid.org/0009-0006-2552-6246 Eriko Komiya Juntendo Itch Research Center (JIRC), Institute for Environmental and Gender-Specific Medicine, Juntendo University Graduate School of Medicine, 2-1-1 Tomioka, Urayasu, Chiba 279-0021, Japan; Laboratory of Functional Morpholo",body,False,0
Webpage,https://doi.org/10.3389/fmed.2026.1805596,Frontiers | Distinct microbial and functional alterations across skin sites and disease severity in pediatric atopic dermatitis: a prospective study,,Atopic Dermatitis,Frontiers | Distinct microbial and functional alterations across skin sites and disease severity in pediatric atopic dermatitis: a prospective study Frontiers in Medicine About us About us Who we are Mission and values History Leadership Awards Impact and progress Frontiers' impact Our annual reports Thought leadership Publishing model How we publish Open access Qu,body,False,0
Webpage,https://doi.org/10.3389/fmed.2026.1805596,Frontiers | Distinct microbial and functional alterations across skin sites and disease severity in pediatric atopic dermatitis: a prospective study,,Eczema,"www.frontiersin.org/articles/10.3389/fmed.2026.1805596/full#supplementary-material References 1. Wollenberg A Barbarot S Bieber T Christen-Zaech S Deleuran M Fink-Wagner A et al . Consensus-based European guidelines for treatment of atopic eczema (atopic dermatitis) in adults and children: part I . J Eur Acad Dermatol Venereol . ( 2018 ) 32 : 657 - 82 . doi: 10.1111/jdv.14891 , Pubmed Abstract CrossRef Google Scholar 2. Tian J Zhang D Yang Y Huang Y Wang L Yao X et al . Global epid",body,False,0
Webpage,https://doi.org/10.3389/fmed.2026.1805596,Frontiers | Distinct microbial and functional alterations across skin sites and disease severity in pediatric atopic dermatitis: a prospective study,,Air,and values History Leadership Awards Impact and progress Frontiers' impact Our annual reports Thought leadership Publishing model How we publish Open access Quality and research integrity Peer review Research Topics Publish your data with FAIR² Fee policy Services Societies National consortia Institutional partnerships Collaborators More from Frontiers Frontiers Forum Frontiers Planet Prize Press office Sustainability Career opportunities Contact us All journals All articles Sub,body,False,0
Webpage,https://doi.org/10.3389/fmed.2026.1805596,Frontiers | Distinct microbial and functional alterations across skin sites and disease severity in pediatric atopic dermatitis: a prospective study,,4,"orial office Submit your research Search ORIGINAL RESEARCH article Front. Med. , 29 April 2026 Sec. Dermatology Volume 13 - 2026 | https://doi.org/10.3389/fmed.2026.1805596 Published in Frontiers in Medicine Dermatology 3.6 impact factor 5.4 citescore Part of a Research Topic Dynamics of the Human Skin Microbiota 62k views 20 articles Editor & Reviewers Edited by S G Sarah Gino Reviewed by J K Juri Koizumi H V Helena Vidaurri De La Cruz Outline Abstract Introduction Materials",body,False,0
Webpage,https://doi.org/10.2340/actadv.v106.adv-2025-0258,"Real-world Efficacy and Safety of Stapokibart in Children and Adolescents with Moderate-to-severe Atopic Dermatitis: A Retrospective Study
							| Acta Dermato-Venereologica",,Atopic Dermatitis,Real-world Efficacy and Safety of Stapokibart in Children and Adolescents with Moderate-to-severe Atopic Dermatitis: A Retrospective Study | Acta Dermato-Venereologica Skip to main content Skip to main navigation menu Skip to site footer Open Menu About About the Journal ActaDV in short Owner Editorial Team Advisory Board Acknowledged Reviewers Content,body,False,0
Webpage,https://doi.org/10.2340/actadv.v106.adv-2025-0258,"Real-world Efficacy and Safety of Stapokibart in Children and Adolescents with Moderate-to-severe Atopic Dermatitis: A Retrospective Study
							| Acta Dermato-Venereologica",,Psoriasis,"5 Studies on zinc in wound healing 959 Skin Infections Caused by Staphylococcus aureus 912 Browse Categories Quiz Skin biology and inflammation Metabolism and internal medicine Atopy, allergy and eczema Itch, urticaria and neurodermatology Psoriasis and autoimmune diseases Immunology, lymphoma and HIV/AIDS Drug development and adverse reactions Skin tumours and pigmentation Wounds, vascular disorders and connective tissues Hair, nails and adnexal disorders Inherited diseases and malfo",body,False,0
Webpage,https://doi.org/10.2340/actadv.v106.adv-2025-0258,"Real-world Efficacy and Safety of Stapokibart in Children and Adolescents with Moderate-to-severe Atopic Dermatitis: A Retrospective Study
							| Acta Dermato-Venereologica",,Eczema,") is scarce. We retrospectively analysed 55 patients aged 6-17 years treated at a single centre for 16 weeks using weight-tiered dosing (<30 kg: 600 mg loading, then 300 mg every 4 weeks; ≥30 kg: 600 mg loading, then 300 mg every 2 weeks). Eczema Area and Severity Index (EASI), Scoring Atopic Dermatitis (SCORAD), body surface area (BSA), Investigator’s Global Assessment (IGA), Children’s Dermatology Life Quality Index (CDLQI) and Pruritus Numerical Rating Scale (P-NRS) were assesse",body,False,0
Webpage,https://doi.org/10.2340/actadv.v106.adv-2025-0258,"Real-world Efficacy and Safety of Stapokibart in Children and Adolescents with Moderate-to-severe Atopic Dermatitis: A Retrospective Study
							| Acta Dermato-Venereologica",,Air,"rgy and eczema Itch, urticaria and neurodermatology Psoriasis and autoimmune diseases Immunology, lymphoma and HIV/AIDS Drug development and adverse reactions Skin tumours and pigmentation Wounds, vascular disorders and connective tissues Hair, nails and adnexal disorders Inherited diseases and malformations Facial dermatoses, skin aging and cosmesis Lasers, UV-irradiation and dermatologic therapy Mucous membranes and granulomatous diseases Microbiology, STI and genital dermatol",body,False,0
Webpage,https://doi.org/10.2340/actadv.v106.adv-2025-0258,"Real-world Efficacy and Safety of Stapokibart in Children and Adolescents with Moderate-to-severe Atopic Dermatitis: A Retrospective Study
							| Acta Dermato-Venereologica",,4,"s with Moderate-to-severe Atopic Dermatitis: A Retrospective Study Authors Lubing Li Department of Dermatology and Venereology, The first Affiliated Hospital of Wenzhou Medical University, Wenzhou, Zhejiang, China https://orcid.org/0009-0004-7972-899X Yuqi Chen Department of Dermatology and Venereology, The first Affiliated Hospital of Wenzhou Medical University, Wenzhou, Zhejiang, China Minmin Lin Department of Dermatology and Venereology, The first Affiliated Hospital of Wen",body,False,0
Webpage,https://doi.org/10.21203/rs.3.rs-9844731/v1,Huaier Extract Ameliorates Cutaneous Inflammation and Pruritus in Atopic Dermatitis-like Mice via JAK-STAT /NF-κB Inhibition and Neuronal IL- 31Rα/IL-4R Downregulation | Research Square,,Atopic Dermatitis,Huaier Extract Ameliorates Cutaneous Inflammation and Pruritus in Atopic Dermatitis-like Mice via JAK-STAT /NF-κB Inhibition and Neuronal IL- 31Rα/IL-4R Downregulation | Research Square Browse Preprints In Review Journals COVID-19 Preprints AJE Video Bytes Research Tools Research Promotion AJE Professional Editing AJE Rub,body,False,0
Webpage,https://doi.org/10.21203/rs.3.rs-9844731/v1,Huaier Extract Ameliorates Cutaneous Inflammation and Pruritus in Atopic Dermatitis-like Mice via JAK-STAT /NF-κB Inhibition and Neuronal IL- 31Rα/IL-4R Downregulation | Research Square,,Psoriasis,"dy dupilumab: facing a new era in treating atopic dermatitis. Expert Opin Biol Ther 15 , 1657-1660 (2015). https://doi.org/10.1517/14712598.2015.1095887 Varma, A. & Levitt, J. Dupilumab-induced phenotype switching from atopic dermatitis to psoriasis. JAAD Case Rep 6 , 217-218 (2020). https://doi.org/10.1016/j.jdcr.2020.01.012 Trave, I., Salvi, I., Burlando, M., Cozzani, E. & Parodi, A. “De Novo” Psoriasis and Relapse of Psoriasis Induced by Dupilumab: Three New Cases and Review of the",body,False,0
Webpage,https://doi.org/10.21203/rs.3.rs-9844731/v1,Huaier Extract Ameliorates Cutaneous Inflammation and Pruritus in Atopic Dermatitis-like Mice via JAK-STAT /NF-κB Inhibition and Neuronal IL- 31Rα/IL-4R Downregulation | Research Square,,Eczema,"ical sciences/Immunology Atopic dermatitis Pruritus Neuroimmunology Huaier Anti-inflammatory Figures Figure 1 Figure 2 Figure 3 Figure 4 Figure 5 Figure 6 Figure 7 Introduction AD is a common inflammatory skin condition marked by recurring eczema-like rashes and severe itching. Itch is the most prominent symptom of AD, greatly affecting patients' and their families' quality of life 1 . Unfortunately, only few specific treatment modalities for pruritus of AD are available. Numerous",body,False,0
