evidence_id,title,source_types,best_source,url,doi,pmid,pmcid,pub_date,journal_or_site,aliases_matched,match_locations,best_match_context,confidence,evidence_bucket,needs_manual_review,queries_used
EVID-00718,Lebrikizumab Provides Stable Itch Response With No or Minimal Fluctuations up to One Year in Patients With Atopic Dermatitis,['OpenAlex'],OpenAlex,https://doi.org/10.25251/skin.7.supp.282,10.25251/skin.7.supp.282,,,2023-11-13,"{""id"": ""doi:10.25251/skin.7.supp.282"", ""is_oa"": true, ""landing_page_url"": ""https://doi.org/10.25251/skin.7.supp.282"", ""pdf_url"": ""https://jofskin.org/index.php/skin/article/download/2390/1904"", ""source"": {""id"": ""https://openalex.org/S4210210594"", ""display_name"": ""SKIN The Journal of Cutaneous Medicine"", ""issn_l"": ""2574-1624"", ""issn"": [""2574-1624""], ""is_oa"": true, ""is_in_doaj"": true, ""is_core"": true, ""host_organization"": null, ""host_organization_name"": null, ""host_organization_lineage"": [], ""host_organization_lineage_names"": [], ""type"": ""journal""}, ""license"": ""cc-by"", ""license_id"": ""https://openalex.org/licenses/cc-by"", ""version"": ""publishedVersion"", ""is_accepted"": true, ""is_published"": true, ""raw_source_name"": ""SKIN The Journal of Cutaneous Medicine"", ""raw_type"": ""journal-article""}",['Atopic Dermatitis'],['title'],Lebrikizumab Provides Stable Itch Response With No or Minimal Fluctuations up to One Year in Patients With Atopic Dermatitis https://doi.org/10.25251/skin.7.supp.282,100,confirmed direct evidence,False,"['""Eczema"" ""BenevolentAI""']"
EVID-00118,Lebrikizumab vs Other Systemic Monotherapies for Moderate-to-Severe Atopic Dermatitis: Network Meta-analysis of Efficacy.,['PubMed' 'Europe PMC'],PubMed,https://pubmed.ncbi.nlm.nih.gov/39953372/,10.1007/s13555-025-01357-7,39953372,PMC11909319,2025-Mar,Dermatology and therapy,['Atopic Dermatitis' 'Placebo' 'Eczema' '4'],['title' 'abstract'],Lebrikizumab vs Other Systemic Monotherapies for Moderate-to-Severe Atopic Dermatitis: Network Meta-analysis of Efficacy.,100,confirmed direct evidence,False,"['""4"" ""BenevolentAI""' '""Eczema"" ""BenevolentAI""' '""Placebo"" ""BenevolentAI""']"
EVID-00278,"Once-daily upadacitinib versus placebo in adolescents and adults with moderate-to-severe atopic dermatitis (Measure Up 1 and Measure Up 2): results from two replicate double-blind, randomised controlled phase 3 trials.",['PubMed'],PubMed,https://pubmed.ncbi.nlm.nih.gov/34023008/,10.1016/S0140-6736(21)00588-2,34023008,,2021-Jun-05,"Lancet (London, England)",['Atopic Dermatitis' 'Placebo' 'Eczema' '4'],['title' 'abstract'],"Once-daily upadacitinib versus placebo in adolescents and adults with moderate-to-severe atopic dermatitis (Measure Up 1 and Measure Up 2): results from two replicate double-blind, randomised controlled phase 3 trials.",100,confirmed direct evidence,False,"['""Eczema"" ""BenevolentAI""']"
EVID-00440,Predicting success with reduced dosing frequency of tralokinumab in patients with moderate-to-severe atopic dermatitis.,['PubMed'],PubMed,https://pubmed.ncbi.nlm.nih.gov/39657020/,10.1093/bjd/ljae439,39657020,,2025-Feb-18,The British journal of dermatology,['Atopic Dermatitis' 'Eczema' '4'],['title' 'abstract'],Predicting success with reduced dosing frequency of tralokinumab in patients with moderate-to-severe atopic dermatitis.,100,confirmed direct evidence,False,"['""4"" ""BenevolentAI""']"
EVID-00514,"Safety of tralokinumab in adult patients with moderate-to-severe atopic dermatitis: pooled analysis of five randomized, double-blind, placebo-controlled phase II and phase III trials.",['PubMed' 'Europe PMC' 'OpenAlex'],PubMed,https://pubmed.ncbi.nlm.nih.gov/36082590/,10.1111/bjd.21867,36082590,PMC10091996,2022-Dec,The British journal of dermatology,['Atopic Dermatitis' 'Placebo' 'Eczema' '4'],['title' 'abstract'],"Safety of tralokinumab in adult patients with moderate-to-severe atopic dermatitis: pooled analysis of five randomized, double-blind, placebo-controlled phase II and phase III trials.",100,confirmed direct evidence,False,"['""Eczema"" ""BenevolentAI""' '""4"" ""BenevolentAI""' '""Placebo"" ""BenevolentAI""']"
EVID-00566,"Safety profile of upadacitinib over 15 000 patient-years across rheumatoid arthritis, psoriatic arthritis, ankylosing spondylitis and atopic dermatitis.",['Europe PMC' 'OpenAlex'],Europe PMC,https://doi.org/10.1136/rmdopen-2022-002735,10.1136/rmdopen-2022-002735,36754548,PMC9923346,2023,"{""id"": ""doi:10.1136/rmdopen-2022-002735"", ""is_oa"": true, ""landing_page_url"": ""https://doi.org/10.1136/rmdopen-2022-002735"", ""pdf_url"": ""https://rmdopen.bmj.com/content/rmdopen/9/1/e002735.full.pdf"", ""source"": {""id"": ""https://openalex.org/S2738706341"", ""display_name"": ""RMD Open"", ""issn_l"": ""2056-5933"", ""issn"": [""2056-5933""], ""is_oa"": true, ""is_in_doaj"": true, ""is_core"": true, ""host_organization"": ""https://openalex.org/P4310319945"", ""host_organization_name"": ""BMJ"", ""host_organization_lineage"": [""https://openalex.org/P4310319945""], ""host_organization_lineage_names"": [""BMJ""], ""type"": ""journal""}, ""license"": ""cc-by-nc"", ""license_id"": ""https://openalex.org/licenses/cc-by-nc"", ""version"": ""publishedVersion"", ""is_accepted"": true, ""is_published"": true, ""raw_source_name"": ""RMD Open"", ""raw_type"": ""journal-article""}",['Atopic Dermatitis' '4'],['abstract' 'title'],"Safety profile of upadacitinib over 15 000 patient-years across rheumatoid arthritis, psoriatic arthritis, ankylosing spondylitis and atopic dermatitis. <h4>Objective</h4>To evaluate the long-term safety profile for upadacitinib across rheumatoid arthritis (RA), psoriatic arthritis (PsA), ankylosing spondylitis (AS) and atopic dermatitis (AD).<h4>Methods</h4>Safety dat",100,confirmed direct evidence,False,"['""Eczema"" ""BenevolentAI""' '""Placebo"" ""BenevolentAI""']"
EVID-00147,The Role of the Environment and Exposome in Atopic Dermatitis.,['PubMed' 'Europe PMC'],PubMed,https://pubmed.ncbi.nlm.nih.gov/34055570/,10.1007/s40521-021-00289-9,34055570,PMC8139547,2021,Current treatment options in allergy,['Atopic Dermatitis' '4'],['title' 'abstract'],The Role of the Environment and Exposome in Atopic Dermatitis.,100,confirmed direct evidence,False,"['""Eczema"" ""BenevolentAI""']"
EVID-00130,Three-Year Efficacy and Safety of Lebrikizumab in Patients with Moderate-to-Severe Atopic Dermatitis: A Long-Term Extension (ADjoin),['OpenAlex' 'PubMed'],OpenAlex,https://doi.org/10.1007/s13555-026-01810-1,10.1007/s13555-026-01810-1,42315763,,2026-06-19,"{""id"": ""doi:10.1007/s13555-026-01810-1"", ""is_oa"": true, ""landing_page_url"": ""https://doi.org/10.1007/s13555-026-01810-1"", ""pdf_url"": ""https://link.springer.com/content/pdf/10.1007/s13555-026-01810-1.pdf"", ""source"": {""id"": ""https://openalex.org/S4210222097"", ""display_name"": ""Dermatology and Therapy"", ""issn_l"": ""2190-9172"", ""issn"": [""2190-9172"", ""2193-8210""], ""is_oa"": true, ""is_in_doaj"": true, ""is_core"": true, ""host_organization"": ""https://openalex.org/P4310320330"", ""host_organization_name"": ""Adis, Springer Healthcare"", ""host_organization_lineage"": [""https://openalex.org/P4310320330"", ""https://openalex.org/P4310319965""], ""host_organization_lineage_names"": [""Adis, Springer Healthcare"", ""Springer Nature""], ""type"": ""journal""}, ""license"": ""cc-by-nc"", ""license_id"": ""https://openalex.org/licenses/cc-by-nc"", ""version"": ""publishedVersion"", ""is_accepted"": true, ""is_published"": true, ""raw_source_name"": ""Dermatology and Therapy"", ""raw_type"": ""journal-article""}",['Atopic Dermatitis' 'Placebo' 'Eczema' '4'],['title' 'abstract'],Three-Year Efficacy and Safety of Lebrikizumab in Patients with Moderate-to-Severe Atopic Dermatitis: A Long-Term Extension (ADjoin) https://doi.org/10.1007/s13555-026-01810-1,100,confirmed direct evidence,False,"['""Eczema"" ""BenevolentAI""' '""Eczema"" ""atopic dermatitis""']"
EVID-00017,Topical anti-inflammatory treatments for eczema: network meta-analysis.,['Europe PMC'],Europe PMC,https://doi.org/10.1002/14651858.cd015064.pub2,10.1002/14651858.cd015064.pub2,39105474,PMC11301992,2024,,['Eczema' '4' 'Atopic Dermatitis' 'Placebo'],['abstract'],Topical anti-inflammatory treatments for eczema: network meta-analysis. <h4>Background</h4>Eczema (atopic dermatitis) is the most burdensome skin condition worldwide and cannot currently be prevented or cured. Topical anti-inflammatory treatments are used to control,100,confirmed direct evidence,False,"['""Ben2293"" ""BenevolentAI""' '""BEN2293"" ""BenevolentAI""'
 '""Eczema"" ""BenevolentAI""' '""ben2293"" ""BenevolentAI""' '""BEN2293""'
 '""Ben2293""' '""BEN2293"" ""atopic dermatitis""'
 '""ben2293"" ""atopic dermatitis""' '""Ben2293"" ""atopic dermatitis""']"
EVID-00536,Treat‐to‐target in dermatology: A scoping review and International Eczema Council survey on the approach in atopic dermatitis,['OpenAlex'],OpenAlex,https://doi.org/10.1111/jdv.19506,10.1111/jdv.19506,,,2023-09-13,"{""id"": ""doi:10.1111/jdv.19506"", ""is_oa"": true, ""landing_page_url"": ""https://doi.org/10.1111/jdv.19506"", ""pdf_url"": ""https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jdv.19506"", ""source"": {""id"": ""https://openalex.org/S137740113"", ""display_name"": ""Journal of the European Academy of Dermatology and Venereology"", ""issn_l"": ""0926-9959"", ""issn"": [""0926-9959"", ""1468-3083""], ""is_oa"": false, ""is_in_doaj"": false, ""is_core"": true, ""host_organization"": ""https://openalex.org/P4310320595"", ""host_organization_name"": ""Wiley"", ""host_organization_lineage"": [""https://openalex.org/P4310320595""], ""host_organization_lineage_names"": [""Wiley""], ""type"": ""journal""}, ""license"": null, ""license_id"": null, ""version"": ""publishedVersion"", ""is_accepted"": true, ""is_published"": true, ""raw_source_name"": ""Journal of the European Academy of Dermatology and Venereology"", ""raw_type"": ""journal-article""}",['Atopic Dermatitis' 'Eczema'],['title'],Treat-to-target in dermatology: A scoping review and International Eczema Council survey on the approach in atopic dermatitis https://doi.org/10.1111/jdv.19506,100,confirmed direct evidence,False,"['""Eczema"" ""BenevolentAI""']"
EVID-00259,Type 2 Inflammation Contributes to Skin Barrier Dysfunction in Atopic Dermatitis.,['Europe PMC'],Europe PMC,https://doi.org/10.1016/j.xjidi.2022.100131,10.1016/j.xjidi.2022.100131,36059592,PMC9428921,2022,,['Atopic Dermatitis' '4'],['abstract'],"Type 2 Inflammation Contributes to Skin Barrier Dysfunction in Atopic Dermatitis. Skin barrier dysfunction, a defining feature of atopic dermatitis (AD), arises from multiple interacting systems. In AD, skin inflammation is caused by host-environment interactions involving keratinocytes as well as t",100,confirmed direct evidence,False,"['""Eczema"" ""BenevolentAI""']"
EVID-00126,"A Durability Index for Atopic Dermatitis: Indirect Comparison of Lebrikizumab, Dupilumab, and Tralokinumab in Maintaining Efficacy Under Variable Treatment Adherence.",['PubMed'],PubMed,https://pubmed.ncbi.nlm.nih.gov/42307887/,10.1007/s13555-026-01791-1,42307887,,2026-Jun-17,Dermatology and therapy,['Atopic Dermatitis' 'Eczema' '4'],['title' 'abstract'],"A Durability Index for Atopic Dermatitis: Indirect Comparison of Lebrikizumab, Dupilumab, and Tralokinumab in Maintaining Efficacy Under Variable Treatment Adherence.",95,confirmed direct evidence,False,"['""4"" ""atopic dermatitis""']"
